race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,time_value,half_way_rank,last_time,odds,popular,horse_weight,tame_time,tamer_id,owner_id
201905010201,1,8,16,2016105994,牝3,54,05339,1:28.0,,**,7-7,39.4,3.3,2,504(+12),,01102,994002
201905010201,2,6,12,2016105685,牝3,54,01109,1:28.1,1/2,**,11-9,39.2,51.2,10,494(-4),,01023,547800
201905010201,3,5,9,2016106310,牝3,54,00689,1:28.1,アタマ,**,15-14,38.6,10.0,5,454(0),,01048,089803
201905010201,4,7,14,2016100216,牝3,53,01169,1:28.4,1.3/4,**,11-9,39.5,4.8,3,450(-6),,01094,515800
201905010201,5,1,1,2016100319,牝3,54,05575,1:28.4,クビ,**,4-4,40.0,55.7,11,434(+6),,01108,854800
201905010201,6,3,6,2016105205,牝3,54,05342,1:29.3,5,**,2-2,41.2,37.9,9,508(-2),,01163,148800
201905010201,7,3,5,2016103916,牝3,54,05386,1:29.4,3/4,**,8-9,40.4,3.1,1,422(+2),,01027,965030
201905010201,8,5,10,2016100684,牝3,54,01009,1:29.5,クビ,**,10-12,40.3,314.0,15,446(+2),,00341,546800
201905010201,9,4,8,2016103215,牝3,54,00666,1:29.6,3/4,**,2-2,41.5,9.5,4,484(0),,01103,007803
201905010201,10,7,13,2016106291,牝3,54,00641,1:29.7,3/4,**,8-7,41.1,36.3,8,468(+8),,00420,829800
201905010201,11,6,11,2016101435,牝3,54,05517,1:30.4,4,**,4-4,42.0,16.5,6,456(+8),,01086,227007
201905010201,12,1,2,2016105025,牝3,54,01075,1:30.6,1.1/2,**,15-15,40.9,26.6,7,466(-6),,01076,156033
201905010201,13,8,15,2016100029,牝3,52,01161,1:31.0,2.1/2,**,13-15,41.4,371.0,16,450(0),,00408,274002
201905010201,14,2,3,2016102624,牝3,54,01018,1:32.0,6,**,4-4,43.5,84.6,12,458(-20),,01096,789033
201905010201,15,4,7,2016100971,牝3,54,01118,1:32.3,1.3/4,**,13-12,43.1,169.5,13,436(+8),,00436,029007
201905010201,16,2,4,2016105545,牝3,54,01150,1:35.7,大,**,1-1,47.6,171.9,14,472(+14),,01133,428033
201905010202,1,3,5,2016105913,牡3,56,00660,2:17.1,,**,5-4-4-3,38.7,4.7,2,494(0),,01132,019800
201905010202,2,7,12,2016106069,牡3,56,01029,2:18.0,5,**,13-13-9-7,38.8,3.0,1,466(+8),,00436,677009
201905010202,3,4,6,2016106299,牡3,54,01161,2:18.3,1.3/4,**,2-3-3-3,39.8,70.0,11,470(-2),,00383,226006
201905010202,4,5,8,2016104252,牡3,55,01169,2:18.4,クビ,**,10-9-9-9,38.8,22.1,9,492(0),,01133,231033
201905010202,4,5,9,2016101988,牡3,56,05203,2:18.4,同着,**,14-14-12-10,38.6,5.9,4,510(+4),,01165,731006
201905010202,6,6,11,2016104370,牡3,56,01043,2:18.5,3/4,**,1-1-1-1,40.6,21.9,8,460(-6),,01067,808800
