race_id,race_round,race_title,race_course,weather,ground_status,time,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3
201905010201,1 R,3歳未勝利,ダ左1400m,天候 : 晴,ダート : 良,10:10,2019年1月27日,1回東京2日目,16,8,16,6,12,5,9,330,170,"1,000",320,"2,180","10,100","3,700",880,"6,050","13,550","33,170","159,190"
201905010202,2 R,3歳未勝利,ダ左2100m,天候 : 晴,ダート : 良,10:40,2019年1月27日,1回東京2日目,15,3,5,7,12,4,6,470,190,160,"1,080",590,690,350,"2,470","2,280","1,390","8,830","34,670"
201905010203,3 R,3歳新馬,ダ左1600m,天候 : 晴,ダート : 良,11:10,2019年1月27日,1回東京2日目,16,6,12,7,13,8,16,120,110,210,210,620,680,290,310,"1,360",770,"2,310","5,120"
201905010204,4 R,4歳以上500万下,ダ左1600m,天候 : 晴,ダート : 良,11:40,2019年1月27日,1回東京2日目,16,3,6,7,13,4,8,670,220,500,150,"2,430","5,490","1,580",480,"1,220","8,820","5,850","40,470"
201905010205,5 R,3歳未勝利,芝左1600m,天候 : 晴,芝 : 良,12:30,2019年1月27日,1回東京2日目,16,3,6,3,5,2,4,200,120,180,410,630,560,310,790,"1,230",920,"2,660","8,410"
201905010206,6 R,3歳新馬,芝左1800m,天候 : 晴,芝 : 良,13:05,2019年1月27日,1回東京2日目,16,1,2,2,4,3,6,230,120,140,200,320,430,220,410,600,730,"1,680","4,840"
201905010207,7 R,4歳以上500万下,ダ左2100m,天候 : 晴,ダート : 良,13:35,2019年1月27日,1回東京2日目,11,7,9,8,10,6,6,160,110,150,120,350,570,230,160,390,810,580,"2,260"
201905010208,8 R,4歳以上1000万下,ダ左1400m,天候 : 晴,ダート : 良,14:05,2019年1月27日,1回東京2日目,13,5,6,4,4,6,9,410,130,120,730,400,430,200,"2,200","2,150","1,210","6,030","26,290"
201905010209,9 R,セントポーリア賞 ,芝左1800m,天候 : 晴,芝 : 良,14:35,2019年1月27日,1回東京2日目,8,3,3,8,8,4,4,180,110,110,120,250,0,130,150,190,430,260,880
201905010210,10 R,早春ステークス ,芝左2400m,天候 : 晴,芝 : 良,15:10,2019年1月27日,1回東京2日目,11,8,11,7,8,2,2,390,130,110,250,260,270,160,670,500,840,"1,440","8,120"
201905010211,11 R,第33回根岸ステークス(G3),ダ左1400m,天候 : 晴,ダート : 良,15:45,2019年1月27日,1回東京2日目,16,6,11,1,2,1,1,430,210,190,300,330,"1,250",510,"1,030",880,"2,360","5,220","18,930"
201905010212,12 R,4歳以上1000万下,芝左1800m,天候 : 晴,芝 : 良,16:25,2019年1月27日,1回東京2日目,8,2,2,6,6,5,5,290,110,110,180,310,0,170,450,430,640,"1,190","3,650"
201907010401,1 R,3歳未勝利,ダ左1800m,天候 : 晴,ダート : 良,10:20,2019年1月27日,1回中京4日目,15,3,5,6,10,8,15,"3,010",670,510,"1,080","2,920","17,400","3,900","12,970","7,550","34,620","233,160","1,286,820"
201907010402,2 R,3歳未勝利,ダ左1400m,天候 : 晴,ダート : 良,10:45,2019年1月27日,1回中京4日目,16,4,8,3,6,4,7,800,410,430,340,"1,980","7,220","2,220","1,430","1,880","12,840","19,230","111,460"
201907010403,3 R,3歳未勝利,ダ左1200m,天候 : 晴,ダート : 良,11:15,2019年1月27日,1回中京4日目,16,2,3,8,16,2,4,290,160,570,420,430,"4,540","1,220",790,"4,300","7,090","15,730","73,790"
201907010404,4 R,障害4歳以上未勝利,障芝3000m,天候 : 晴,芝 : 良,11:45,2019年1月27日,1回中京4日目,13,3,3,6,9,4,4,300,160,680,630,"1,600","4,280","1,710","1,440","5,100","6,240","25,860","101,750"
201907010405,5 R,障害4歳以上未勝利,障芝3000m,天候 : 晴,芝 : 良,12:15,2019年1月27日,1回中京4日目,14,6,9,2,2,4,5,870,260,170,370,"1,320","1,470",530,"2,070","1,140","3,650","7,390","43,070"
201907010406,6 R,4歳以上500万下,ダ左1800m,天候 : 晴,ダート : 良,12:50,2019年1月27日,1回中京4日目,10,8,10,7,8,2,2,360,130,110,380,220,340,200,"1,580","1,170",950,"3,290","12,550"
201907010407,7 R,3歳未勝利,芝左1600m,天候 : 晴,芝 : 良,13:20,2019年1月27日,1回中京4日目,16,3,6,2,3,5,9,690,150,110,150,620,660,280,430,270,"2,040","1,040","7,770"
201907010408,8 R,4歳以上500万下,芝左1400m,天候 : 晴,芝 : 良,13:50,2019年1月27日,1回中京4日目,18,3,5,8,16,7,14,"1,260",320,140,140,600,"2,120",870,"1,000",250,"5,680","2,490","20,880"
201907010409,9 R,4歳以上500万下,ダ左1400m,天候 : 晴,ダート : 良,14:20,2019年1月27日,1回中京4日目,16,6,11,3,5,1,1,510,210,650,340,"2,670","8,290","2,330","1,130","4,490","15,070","32,740","185,870"
201907010410,10 R,熱田特別 ,芝左2000m,天候 : 晴,芝 : 良,14:50,2019年1月27日,1回中京4日目,10,8,9,1,1,6,6,580,210,"2,880",320,"15,290","33,290","9,760","1,000","13,980","54,070","90,910","454,090"
201907010411,11 R,伊勢特別 ,ダ左1900m,天候 : 晴,ダート : 良,15:25,2019年1月27日,1回中京4日目,14,7,11,2,2,5,7,"1,210",280,120,350,"1,060","1,150",470,"1,960",630,"3,280","4,930","29,530"
201907010412,12 R,蒲郡特別 ,芝左1200m,天候 : 晴,芝 : 良,16:01,2019年1月27日,1回中京4日目,18,6,12,6,11,1,1,490,190,160,290,"1,140","1,120",440,"1,010",830,"2,080","4,320","20,410"
201908020201,1 R,3歳未勝利,ダ右1200m,天候 : 曇,ダート : 良,10:01,2019年1月27日,2回京都2日目,13,2,2,8,13,5,6,480,110,290,110,"4,890","4,440",790,130,560,"8,110","1,220","16,640"
201908020202,2 R,3歳未勝利,ダ右1800m,天候 : 曇,ダート : 良,10:30,2019年1月27日,2回京都2日目,11,6,6,3,3,4,4,"2,060",660,240,"1,800","3,900","3,230",780,"6,090","2,530","8,660","40,300","235,830"
201908020203,3 R,3歳未勝利,ダ右1400m,天候 : 晴,ダート : 良,11:00,2019年1月27日,2回京都2日目,15,5,9,8,14,7,13,400,180,300,230,"3,440","3,960","1,020",740,"1,120","4,680","7,260","41,760"
201908020204,4 R,3歳500万下,ダ右1800m,天候 : 晴,ダート : 良,11:30,2019年1月27日,2回京都2日目,8,7,7,8,8,3,3,220,110,390,150,"2,720",0,820,230,"1,530","4,010","3,790","17,090"
201908020205,5 R,3歳未勝利,芝右 外2200m,天候 : 晴,芝 : 良,12:20,2019年1月27日,2回京都2日目,8,6,6,7,7,8,8,600,170,220,130,"1,520",0,420,260,360,"3,140","1,050","8,030"
201908020206,6 R,3歳新馬,芝右 外1800m,天候 : 晴,芝 : 良,12:55,2019年1月27日,2回京都2日目,16,7,13,4,8,6,11,170,110,800,140,"1,850","5,640","1,720",160,"2,380","6,540","4,820","27,100"
201908020207,7 R,4歳以上500万下,ダ右1200m,天候 : 晴,ダート : 良,13:25,2019年1月27日,2回京都2日目,15,7,12,5,8,3,4,200,140,690,360,"3,590","4,230","1,580",570,"5,660","5,700","12,690","43,940"
201908020208,8 R,4歳以上500万下,ダ右1800m,天候 : 晴,ダート : 良,13:55,2019年1月27日,2回京都2日目,11,6,6,8,11,6,7,"2,680",360,140,120,360,"3,310",960,850,200,"10,780","2,550","34,720"
201908020209,9 R,若菜賞 ,芝右1200m,天候 : 晴,芝 : 良,14:25,2019年1月27日,2回京都2日目,11,7,9,6,7,3,3,320,120,140,140,500,740,240,270,330,"1,410","1,060","4,870"
201908020210,10 R,飛鳥ステークス ,芝右 外1800m,天候 : 晴,芝 : 良,15:01,2019年1月27日,2回京都2日目,7,4,4,7,7,6,6,"1,330",450,160,0,"1,510",0,390,480,180,"3,860","1,030","12,300"
201908020211,11 R,第24回シルクロードS(G3),芝右1200m,天候 : 晴,芝 : 良,15:35,2019年1月27日,2回京都2日目,18,1,2,4,8,8,18,200,130,700,890,"1,410","4,530","1,520","2,640","19,490","6,610","73,350","248,250"
201908020212,12 R,4歳以上1000万下,ダ右1400m,天候 : 晴,ダート : 良,16:10,2019年1月27日,2回京都2日目,11,8,10,1,1,5,5,170,110,150,200,420,410,220,350,830,550,"1,550","3,860"
201905010101,1 R,3歳未勝利,ダ左1300m,天候 : 晴,ダート : 良,10:10,2019年1月26日,1回東京1日目,16,8,16,2,3,5,10,"1,880",280,110,120,640,"2,110",700,650,200,"6,360","1,560","18,190"
201905010102,2 R,3歳新馬,ダ左1400m,天候 : 晴,ダート : 良,10:40,2019年1月26日,1回東京1日目,16,6,11,5,9,2,4,530,210,520,330,"4,710","8,480","2,070","1,080","2,640","13,790","25,530","171,140"
201905010103,3 R,3歳未勝利,ダ左1600m,天候 : 晴,ダート : 良,11:10,2019年1月26日,1回東京1日目,16,4,7,1,1,6,12,620,230,160,370,"1,050","1,420",620,"1,480","1,070","2,420","5,650","27,650"
201905010104,4 R,3歳500万下,ダ左1600m,天候 : 晴,ダート : 良,11:40,2019年1月26日,1回東京1日目,14,8,13,3,4,6,10,340,170,170,480,550,760,380,"1,130","1,600","1,480","3,870","16,710"
201905010105,5 R,3歳未勝利,芝左2400m,天候 : 晴,芝 : 良,12:30,2019年1月26日,1回東京1日目,15,6,11,4,6,3,4,900,280,"1,030",250,"8,660","18,950","5,020","1,150","4,160","31,450","47,300","303,180"
201905010106,6 R,3歳未勝利,芝左1800m,天候 : 晴,芝 : 良,13:00,2019年1月26日,1回東京1日目,13,6,9,4,4,7,11,180,110,110,120,220,270,130,180,240,440,320,"1,120"
201905010107,7 R,4歳以上500万下,ダ左1400m,天候 : 晴,ダート : 良,13:30,2019年1月26日,1回東京1日目,16,7,14,5,10,7,13,640,220,190,460,"1,070","1,250",500,"1,300","1,340","2,380","5,420","25,790"
201905010108,8 R,4歳以上1000万下,ダ左2100m,天候 : 晴,ダート : 良,14:01,2019年1月26日,1回東京1日目,11,7,8,7,9,6,6,160,110,180,310,520,500,290,610,"1,280",670,"2,760","5,750"
201905010109,9 R,白嶺ステークス ,ダ左1600m,天候 : 曇,ダート : 良,14:35,2019年1月26日,1回東京1日目,10,6,6,8,10,5,5,"1,490",320,160,150,"2,680","3,250",860,900,350,"8,410","3,490","30,170"
201905010110,10 R,クロッカスステークス(L),芝左1400m,天候 : 曇,芝 : 良,15:10,2019年1月26日,1回東京1日目,10,7,7,6,6,4,4,340,130,140,150,670,780,280,300,350,"1,550","1,180","5,450"
201905010111,11 R,白富士ステークス(L),芝左2000m,天候 : 曇,芝 : 良,15:45,2019年1月26日,1回東京1日目,9,2,2,1,1,6,6,"1,540",280,160,120,"3,030","3,070",830,720,220,"7,320","3,220","29,950"
201905010112,12 R,4歳以上500万下,芝左1600m,天候 : 曇,芝 : 良,16:25,2019年1月26日,1回東京1日目,16,5,9,8,15,7,14,340,140,140,200,340,530,240,560,430,"1,180","1,660","6,730"
201907010301,1 R,3歳未勝利,ダ左1800m,天候 : 晴,ダート : 良,09:50,2019年1月26日,1回中京3日目,12,6,7,8,12,2,2,330,160,540,280,690,"3,340","1,050",480,"1,950","5,140","5,710","26,540"
