race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,time_value,half_way_rank,last_time,odds,popular,horse_weight,tame_time,tamer_id,owner_id
201906020201,1,7,14,2016106047,牝3,54,01075,1:56.7,,**,8-5-5-2,39.5,7.8,3,452(-2),,01124,136007
201906020201,2,6,11,2016100605,牝3,54,01043,1:56.7,ハナ,**,3-3-3-1,39.7,4.3,2,478(-2),,01102,788800
201906020201,3,6,12,2016104598,牝3,54,05339,1:57.2,3,**,10-10-7-6,39.8,1.7,1,502(-4),,01145,345033
201906020201,4,1,1,2016103481,牝3,54,01092,1:57.6,2.1/2,**,12-12-11-8,39.9,23.8,7,494(+8),,01100,897009
201906020201,5,4,7,2016104777,牝3,54,05469,1:57.6,クビ,**,5-5-6-6,40.3,15.5,5,480(+8),,01114,506800
201906020201,6,3,5,2016103315,牝3,54,01009,1:58.5,5,**,16-16-7-8,41.0,298.9,16,520(0),,01133,003060
201906020201,7,7,13,2016106009,牝3,54,01127,1:58.6,1/2,**,4-4-3-2,41.5,10.0,4,446(-2),,01108,252030
201906020201,8,5,10,2016105031,牝3,54,00422,1:58.6,クビ,**,14-14-12-12,40.6,129.7,12,454(-6),,01079,338007
201906020201,9,2,3,2016102610,牝3,51,01173,1:58.6,ハナ,**,14-14-14-12,40.4,63.5,8,420(-8),,01152,132800
201906020201,10,1,2,2016103408,牝3,54,05386,1:59.2,3.1/2,**,12-13-14-14,41.0,18.9,6,452(0),,00405,173033
201906020201,11,5,9,2016102180,牝3,54,01149,1:59.4,1.1/2,**,8-7-10-11,41.8,179.7,15,446(-8),,01118,363800
201906020201,12,2,4,2016109004,牝3,54,01096,2:00.2,5,**,7-7-7-8,42.8,93.1,10,476(-12),,01047,075800
201906020201,13,8,16,2016103875,牝3,51,01167,2:00.5,2,**,2-2-2-4,43.6,67.5,9,454(0),,01023,382004
201906020201,14,8,15,2016102395,牝3,52,01161,2:00.8,2,**,6-7-16-16,42.1,151.9,13,488(-10),,01074,505006
201906020201,15,3,6,2016100401,牝3,53,01162,2:01.1,1.3/4,**,1-1-1-4,44.2,111.9,11,480(0),,01080,855030
201906020201,16,4,8,2016110005,牝3,54,00684,2:05.8,大,**,10-11-12-15,47.8,164.0,14,462(+2),,01125,893030
201906020202,1,3,5,2016100985,牡3,54,01158,1:12.3,,**,6-4,37.1,28.1,8,480(+28),,01020,812008
201906020202,2,7,14,2016103768,牡3,56,01096,1:12.5,1,**,4-4,37.5,2.2,1,504(+2),,01074,331803
201906020202,3,5,10,2016101080,牝3,54,01092,1:12.5,クビ,**,1-1,38.1,3.6,2,472(+4),,01108,762007
201906020202,4,1,2,2016101073,セ3,56,01075,1:13.6,7,**,12-11,37.0,45.8,9,434(0),,01165,304033
201906020202,5,8,16,2016100431,牝3,51,01173,1:13.7,3/4,**,5-6,38.6,21.6,5,462(+2),,01156,148002
201906020202,6,6,11,2016101323,牝3,54,01150,1:14.2,3,**,6-7,39.0,21.3,4,460(+2),,01076,338030
201906020202,7,4,7,2016105991,牡3,56,01085,1:14.2,アタマ,**,2-2,39.6,22.2,6,502(-10),,01119,075803
201906020202,8,7,13,2016100506,牡3,56,00641,1:14.2,アタマ,**,9-9,38.0,65.3,10,440(0),,01094,755030
201906020202,9,2,3,2016105983,牡3,56,05517,1:14.2,ハナ,**,3-3,39.5,3.9,3,482(-6),,01052,994002
201906020202,10,8,15,2016106389,牡3,56,01119,1:14.4,3/4,**,8-7,39.1,104.3,11,448(+6),,01163,051700
201906020202,11,1,1,2016100448,牝3,54,01127,1:14.5,3/4,**,9-9,38.4,25.4,7,442(0),,00405,527030
201906020202,12,3,6,2016103682,牝3,54,01149,1:14.7,1.1/4,**,14-13,37.7,142.3,13,408(-2),,01030,970006
201906020202,13,2,4,2016102297,牡3,56,00689,1:14.8,3/4,**,11-12,38.4,257.9,14,468(0),,00412,674004
