race_id,race_round,race_title,race_course,weather,ground_status,time,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3
201906020201,1 R,3歳未勝利,ダ右1800m,天候 : 晴,ダート : 良,10:10,2019年2月24日,2回中山2日目,16,7,14,6,11,6,12,780,150,130,110,310,"1,350",430,330,190,"3,480",910,"9,850"
201906020202,2 R,3歳未勝利,ダ右1200m,天候 : 晴,ダート : 良,10:40,2019年2月24日,2回中山2日目,16,3,5,7,14,5,10,"2,810",450,120,140,"2,840","3,180","1,090","1,360",230,"8,970","3,140","36,710"
201906020203,3 R,3歳未勝利,ダ右1800m,天候 : 晴,ダート : 良,11:10,2019年2月24日,2回中山2日目,16,2,4,2,3,3,6,"7,490","1,240",160,"1,190","8,410","9,740","2,590","24,320","2,010","29,830","105,270","949,890"
201906020204,4 R,3歳新馬,ダ右1200m,天候 : 晴,ダート : 良,11:40,2019年2月24日,2回中山2日目,16,4,7,2,4,6,11,300,130,150,250,570,660,310,670,830,"1,310","2,540","9,670"
201906020205,5 R,3歳未勝利,芝右 外2200m,天候 : 晴,芝 : 良,12:30,2019年2月24日,2回中山2日目,16,3,6,3,5,1,1,140,110,160,190,380,380,190,250,690,470,960,"2,090"
201906020206,6 R,3歳500万下,芝右1800m,天候 : 晴,芝 : 良,13:00,2019年2月24日,2回中山2日目,12,5,5,6,7,7,10,340,140,160,160,740,970,340,320,340,"1,690","1,180","5,460"
201906020207,7 R,4歳以上500万下,芝右 外1600m,天候 : 晴,芝 : 良,13:30,2019年2月24日,2回中山2日目,16,3,5,4,8,5,10,180,110,170,790,380,520,250,"1,420","3,740",640,"7,700","21,840"
201906020208,8 R,4歳以上500万下,ダ右1800m,天候 : 晴,ダート : 良,14:01,2019年2月24日,2回中山2日目,16,8,16,7,13,7,14,300,150,630,670,"1,150","4,680","1,570","1,790","8,880","7,320","30,910","124,140"
201906020209,9 R,黄梅賞 ,芝右 外1600m,天候 : 晴,芝 : 良,14:35,2019年2月24日,2回中山2日目,11,2,2,7,9,3,3,"1,710",180,110,110,"1,350","1,420",310,370,130,"4,590",480,"9,900"
201906020210,10 R,ブラッドストーンS ,ダ右1200m,天候 : 晴,ダート : 良,15:10,2019年2月24日,2回中山2日目,16,3,5,2,4,1,1,"14,010","3,920","2,450",430,"2,980","200,360","28,670","19,180","16,540","416,980","562,110","5,614,020"
201906020211,11 R,第93回中山記念(G2),芝右1800m,天候 : 晴,芝 : 良,15:45,2019年2月24日,2回中山2日目,11,1,1,3,3,6,7,700,190,240,160,"2,450","2,470",720,420,710,"4,670","3,260","22,810"
201906020212,12 R,4歳以上1000万下,ダ右1200m,天候 : 晴,ダート : 良,16:25,2019年2月24日,2回中山2日目,16,2,3,1,1,5,10,670,240,210,610,"1,750","1,810",730,"2,510","2,610","3,690","12,340","55,560"
201909010201,1 R,3歳未勝利,ダ右1800m,天候 : 晴,ダート : 良,10:01,2019年2月24日,1回阪神2日目,15,5,8,7,12,6,10,300,120,110,640,340,340,170,"1,460","1,740",650,"4,350","13,640"
201909010202,2 R,3歳未勝利,ダ右1400m,天候 : 晴,ダート : 良,10:30,2019年2月24日,1回阪神2日目,16,4,7,7,13,6,11,220,130,350,200,910,"2,090",750,400,"1,410","3,090","3,630","16,580"
201909010203,3 R,3歳未勝利,ダ右1800m,天候 : 晴,ダート : 良,11:00,2019年2月24日,1回阪神2日目,15,7,12,6,10,2,2,860,260,140,560,410,"1,270",550,"2,800","1,130","3,270","8,060","48,830"
201909010204,4 R,障害4歳以上未勝利,障芝 ダート2970m,天候 : 晴,芝 : 良  ダート : 良,11:30,2019年2月24日,1回阪神2日目,14,2,2,5,8,5,7,250,140,260,170,500,"1,420",560,280,830,"2,090","2,140","10,050"
201909010205,5 R,3歳未勝利,芝右 外2400m,天候 : 晴,芝 : 良,12:20,2019年2月24日,1回阪神2日目,12,5,6,4,4,6,7,"1,330",210,740,110,"9,210","22,600","4,080",350,"1,250","43,010","7,880","150,860"
201909010206,6 R,3歳新馬,芝右2000m,天候 : 晴,芝 : 良,12:50,2019年2月24日,1回阪神2日目,15,7,12,5,8,7,13,150,110,190,450,250,620,320,620,"1,740",860,"3,200","8,550"
201909010207,7 R,4歳以上500万下,ダ右1200m,天候 : 晴,ダート : 良,13:20,2019年2月24日,1回阪神2日目,16,4,8,4,7,3,6,320,160,150,200,860,870,300,480,550,"1,510","1,520","5,350"
201909010208,8 R,4歳以上1000万下,ダ右1800m,天候 : 晴,ダート : 良,13:50,2019年2月24日,1回阪神2日目,8,6,6,8,8,2,2,230,110,120,110,470,0,170,130,190,910,280,"1,540"
201909010209,9 R,伊丹ステークス ,ダ右1800m,天候 : 晴,ダート : 良,14:25,2019年2月24日,1回阪神2日目,11,5,5,7,8,8,11,610,190,160,140,"1,010","1,510",540,450,320,"3,120","1,290","8,890"
201909010210,10 R,すみれステークス(L),芝右2200m,天候 : 晴,芝 : 良,15:01,2019年2月24日,1回阪神2日目,6,6,6,4,4,1,1,350,130,110,0,200,0,110,260,190,540,450,"1,590"
201909010211,11 R,第63回阪急杯(G3),芝右1400m,天候 : 晴,芝 : 良,15:35,2019年2月24日,1回阪神2日目,18,8,17,1,1,2,3,"3,230",790,230,240,"1,040","13,100","3,770","3,780",700,"28,580","21,950","207,070"
201909010212,12 R,4歳以上1000万下,ダ右1400m,天候 : 晴,ダート : 良,16:10,2019年2月24日,1回阪神2日目,16,3,6,6,12,4,7,790,250,160,160,"1,790","2,290",830,780,340,"5,340","2,830","21,790"
201910010601,1 R,3歳未勝利,ダ右1700m,天候 : 晴,ダート : 稍重,09:50,2019年2月24日,1回小倉6日目,16,1,1,7,13,5,10,390,180,140,200,790,840,400,940,530,"2,010","2,730","11,620"
201910010602,2 R,4歳以上500万下,ダ右1000m,天候 : 晴,ダート : 稍重,10:20,2019年2月24日,1回小倉6日目,14,6,10,2,2,8,13,440,130,140,200,360,800,300,630,550,"1,610","2,310","9,540"
201910010603,3 R,3歳未勝利,芝右1200m,天候 : 晴,芝 : 良,10:50,2019年2月24日,1回小倉6日目,18,8,17,7,13,8,16,290,130,140,630,560,850,330,"1,280","2,760","1,310","8,150","30,120"
201910010604,4 R,3歳未勝利,芝右1800m,天候 : 晴,芝 : 良,11:20,2019年2月24日,1回小倉6日目,16,8,15,7,14,1,2,400,160,130,200,560,720,250,480,600,"1,430","1,740","7,430"
201910010605,5 R,3歳未勝利,芝右1200m,天候 : 晴,芝 : 良,12:10,2019年2月24日,1回小倉6日目,18,7,14,5,9,1,2,740,240,210,620,760,"2,240",850,"3,060","2,710","5,150","22,210","113,110"
201910010606,6 R,4歳以上500万下,ダ右1700m,天候 : 晴,ダート : 稍重,12:40,2019年2月24日,1回小倉6日目,13,5,7,2,2,8,13,480,180,140,140,"1,180","1,020",460,450,310,"2,080","1,270","7,460"
201910010607,7 R,4歳以上500万下,芝右1200m,天候 : 晴,芝 : 良,13:10,2019年2月24日,1回小倉6日目,18,1,2,4,7,7,14,"2,390",710,420,"1,420","2,220","7,530","2,110","10,810","7,230","17,880","117,700","784,160"
201910010608,8 R,4歳以上500万下,芝右2000m,天候 : 晴,芝 : 良,13:40,2019年2月24日,1回小倉6日目,12,2,2,8,11,1,1,570,120,110,130,630,690,280,400,160,"1,740",700,"5,490"
201910010609,9 R,4歳以上500万下,ダ右1700m,天候 : 晴,ダート : 稍重,14:15,2019年2月24日,1回小倉6日目,14,6,9,5,8,8,14,170,110,120,130,320,320,160,210,320,480,390,"1,370"
201910010610,10 R,脊振山特別 ,芝右1800m,天候 : 晴,芝 : 良,14:50,2019年2月24日,1回小倉6日目,8,8,8,7,7,3,3,910,220,150,140,"1,840",0,540,580,250,"3,750","1,970","17,000"
201910010611,11 R,下関ステークス ,芝右1200m,天候 : 晴,芝 : 良,15:25,2019年2月24日,1回小倉6日目,14,8,13,1,1,4,6,"2,850",660,210,240,"7,340","9,420","2,830","3,780",740,"22,710","21,130","187,610"
201910010612,12 R,皿倉山特別 ,芝右2600m,天候 : 晴,芝 : 良,16:01,2019年2月24日,1回小倉6日目,15,6,11,8,15,6,10,"1,160",260,170,200,860,"2,420",830,970,570,"5,340","4,920","32,290"
201906020101,1 R,3歳未勝利,ダ右1200m,天候 : 曇,ダート : 良,10:05,2019年2月23日,2回中山1日目,16,4,7,2,3,7,14,540,150,140,110,"1,470","1,450",460,280,290,"2,920","1,020","7,580"
201906020102,2 R,3歳未勝利,ダ右1800m,天候 : 晴,ダート : 良,10:35,2019年2月23日,2回中山1日目,16,8,16,3,5,5,9,590,130,110,110,520,480,220,290,140,"1,510",400,"2,770"
201906020103,3 R,3歳未勝利,ダ右1200m,天候 : 晴,ダート : 良,11:05,2019年2月23日,2回中山1日目,16,6,11,1,2,7,14,150,110,110,210,190,200,130,370,540,270,880,"1,860"
201906020104,4 R,3歳500万下,ダ右1200m,天候 : 晴,ダート : 良,11:35,2019年2月23日,2回中山1日目,16,4,7,1,1,2,3,320,140,150,430,410,510,250,"1,190","1,030",810,"2,610","6,700"
201906020105,5 R,3歳未勝利,芝右1800m,天候 : 晴,芝 : 良,12:25,2019年2月23日,2回中山1日目,16,5,9,6,11,3,6,370,150,130,480,380,440,230,"1,940","2,060",980,"6,990","25,120"
201906020106,6 R,3歳新馬,芝右2000m,天候 : 晴,芝 : 良,12:55,2019年2月23日,2回中山1日目,16,4,7,8,15,7,13,230,140,170,340,630,850,360,790,"1,180","1,390","3,710","12,470"
201906020107,7 R,4歳以上500万下,ダ右1200m,天候 : 晴,ダート : 良,13:25,2019年2月23日,2回中山1日目,16,3,5,6,12,7,13,860,350,870,410,810,"22,990","6,450","2,820","5,020","41,810","105,540","611,650"
201906020108,8 R,春麗ジャンプS ,障芝 ダート3200m,天候 : 晴,芝 : 良  ダート : 良,14:01,2019年2月23日,2回中山1日目,13,5,6,7,11,4,4,150,110,230,390,390,"1,140",450,760,"2,390","1,340","4,990","11,240"
201906020109,9 R,水仙賞 ,芝右 外2200m,天候 : 晴,芝 : 良,14:35,2019年2月23日,2回中山1日目,11,6,6,2,2,8,10,210,120,170,200,870,860,300,360,640,"1,290","1,760","5,870"
201906020110,10 R,富里特別 ,芝右1800m,天候 : 晴,芝 : 良,15:10,2019年2月23日,2回中山1日目,16,8,15,7,13,5,9,250,150,210,540,330,"1,240",490,"1,290","2,570","1,700","10,250","32,670"
201906020111,11 R,アクアマリンS ,芝右 外1200m,天候 : 晴,芝 : 良,15:45,2019年2月23日,2回中山1日目,12,6,7,1,1,5,6,"4,560",780,300,160,"6,280","23,950","4,960","2,560",740,"58,060","25,710","303,900"
201906020112,12 R,4歳以上1000万下,ダ右1800m,天候 : 晴,ダート : 良,16:25,2019年2月23日,2回中山1日目,15,6,10,4,7,7,13,630,220,350,180,"4,160","5,350","1,910",630,"1,070","9,010","6,110","45,910"
201909010101,1 R,3歳未勝利,ダ右1200m,天候 : 晴,ダート : 稍重,09:55,2019年2月23日,1回阪神1日目,16,6,11,4,8,5,9,310,130,120,150,520,590,230,460,430,"1,000",930,"3,580"
201909010102,2 R,3歳未勝利,ダ右1800m,天候 : 曇,ダート : 稍重,10:25,2019年2月23日,1回阪神1日目,14,6,9,4,6,1,1,250,130,130,160,390,420,180,350,330,780,"1,010","3,370"
201909010103,3 R,3歳新馬,ダ右1200m,天候 : 曇,ダート : 稍重,10:55,2019年2月23日,1回阪神1日目,16,6,11,8,16,8,15,"1,040",340,260,330,"1,860","4,080","1,390","1,440","1,260","8,720","12,280","74,390"
201909010104,4 R,3歳未勝利,芝右 外1800m,天候 : 曇,芝 : 良,11:25,2019年2月23日,1回阪神1日目,14,5,8,5,7,4,5,"1,380",380,200,180,"3,950","3,980","1,080",780,530,"8,560","3,650","27,920"
201909010105,5 R,3歳500万下,ダ右1400m,天候 : 晴,ダート : 稍重,12:15,2019年2月23日,1回阪神1日目,12,8,12,5,5,6,7,210,120,720,430,"1,000","4,460","1,390","1,040","4,230","5,370","20,720","79,410"
201909010106,6 R,4歳以上500万下,ダ右1800m,天候 : 晴,ダート : 稍重,12:45,2019年2月23日,1回阪神1日目,9,2,2,3,3,5,5,"2,130",320,110,780,"1,580","1,540",630,"6,790","1,460","4,650","13,320","106,120"
201909010107,7 R,4歳以上500万下,ダ右1400m,天候 : 晴,ダート : 稍重,13:15,2019年2月23日,1回阪神1日目,16,8,16,1,1,7,14,370,150,160,180,800,880,340,470,520,"1,510","1,640","7,010"
201909010108,8 R,4歳以上500万下,芝右2000m,天候 : 晴,芝 : 良,13:50,2019年2月23日,1回阪神1日目,12,7,10,8,12,3,3,650,190,130,200,"1,080","1,280",560,780,380,"2,990","2,340","16,640"
201909010109,9 R,尼崎ステークス ,芝右2200m,天候 : 晴,芝 : 良,14:25,2019年2月23日,1回阪神1日目,9,6,6,2,2,1,1,510,130,110,180,380,380,180,530,290,"1,130","1,000","6,250"
201909010110,10 R,マーガレットS(L),芝右1200m,天候 : 晴,芝 : 良,15:01,2019年2月23日,1回阪神1日目,6,5,5,1,1,6,6,120,100,120,0,200,0,120,190,390,260,470,960
