race_id,race_round,race_title,race_course,weather,ground_status,time,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3
202006010901,1 R,3歳未勝利,ダ右1200m,天候 : 小雨,ダート : 稍重,10:10,2020年1月26日,1回中山9日目,16,6,11,8,15,7,13,170,110,120,290,280,330,160,550,760,410,"1,520","3,780"
202006010902,2 R,3歳未勝利,ダ右1800m,天候 : 小雨,ダート : 稍重,10:40,2020年1月26日,1回中山9日目,12,6,7,5,6,5,5,"1,830",470,250,340,670,"4,910","1,170","1,700","1,160","11,600","11,130","85,850"
202006010903,3 R,3歳未勝利,ダ右1200m,天候 : 小雨,ダート : 稍重,11:10,2020年1月26日,1回中山9日目,16,3,6,5,10,1,2,170,110,140,930,350,330,180,"1,730","2,890",420,"5,410","11,420"
202006010904,4 R,障害4歳以上未勝利,障芝 ダート2880m,天候 : 小雨,芝 : 稍重  ダート : 稍重,11:40,2020年1月26日,1回中山9日目,14,7,12,6,10,8,13,350,150,160,350,700,730,360,910,"1,060","1,290","3,270","10,420"
202006010905,5 R,3歳未勝利,芝右 外1600m,天候 : 曇,芝 : 稍重,12:30,2020年1月26日,1回中山9日目,16,1,1,5,9,4,7,690,250,620,240,"1,670","8,680","2,670",840,"2,350","15,610","16,870","97,640"
202006010906,6 R,3歳新馬,ダ右1800m,天候 : 曇,ダート : 稍重,13:00,2020年1月26日,1回中山9日目,16,8,16,2,4,1,1,"2,850",630,360,180,"6,290","20,150","4,490","2,000","1,060","48,320","25,600","243,880"
202006010907,7 R,4歳以上1勝クラス,ダ右1200m,天候 : 曇,ダート : 稍重,13:30,2020年1月26日,1回中山9日目,16,3,5,2,3,1,1,"26,770","4,220",240,140,"3,590","65,750","17,740","12,890",610,"169,200","67,840","1,053,350"
202006010908,8 R,4歳以上1勝クラス,ダ右1800m,天候 : 曇,ダート : 稍重,14:01,2020年1月26日,1回中山9日目,15,2,3,5,8,1,1,"1,110",320,510,270,"2,000","9,940","3,450","1,730","2,820","17,490","28,960","176,040"
202006010909,9 R,若竹賞 ,芝右1800m,天候 : 曇,芝 : 稍重,14:35,2020年1月26日,1回中山9日目,11,7,8,6,6,6,7,300,160,360,180,650,"3,080",970,370,970,"4,230","3,870","20,150"
202006010910,10 R,初霞賞 ,ダ右1800m,天候 : 曇,ダート : 稍重,15:10,2020年1月26日,1回中山9日目,12,5,5,2,2,4,4,180,110,320,410,"1,440","1,670",640,710,"2,700","2,010","7,240","22,020"
